CreditScore,LoanAmount,YearsEmployed,EmploymentType,LoanApproved
710,42694,3,Salaried,1
333,48289,3,Salaried,0
681,21730,17,Salaried,1
706,25709,12,Salaried,1
533,14135,0,Self-Employed,0
796,11862,25,Salaried,1
609,17223,6,Self-Employed,0
384,17010,6,Salaried,0
769,22519,2,Salaried,0
327,18241,22,Self-Employed,0
776,39595,20,Self-Employed,1
358,37012,23,Self-Employed,0
304,10018,5,Self-Employed,0
425,31533,14,Salaried,0
534,21830,14,Self-Employed,0
806,17118,17,Salaried,1
789,42230,20,Salaried,1
479,32561,5,Salaried,0
677,12966,4,Salaried,1
639,10993,14,Self-Employed,0
575,14225,7,Salaried,0
643,38905,12,Salaried,0
484,29557,25,Salaried,0
509,41970,15,Salaried,0
560,13179,1,Salaried,0
405,43967,10,Salaried,0
749,48095,23,Self-Employed,1
564,19584,23,Salaried,0
320,39515,24,Self-Employed,0
588,6980,28,Salaried,0
669,31683,10,Self-Employed,1
832,35823,9,Self-Employed,1
535,31346,13,Salaried,0
508,27848,1,Salaried,0
635,18420,20,Salaried,0
734,33301,6,Self-Employed,1
773,27714,9,Salaried,1
317,42591,21,Salaried,0
424,41706,17,Self-Employed,0
825,40031,13,Self-Employed,1
320,28009,26,Salaried,0
769,13676,29,Salaried,1
646,38063,15,Self-Employed,0
317,14914,29,Salaried,0
796,20093,26,Self-Employed,1
780,29620,10,Salaried,1
436,25802,22,Salaried,0
476,13631,11,Salaried,0
742,32212,18,Salaried,1
476,13636,20,Self-Employed,0
790,28559,14,Salaried,1
735,46129,1,Self-Employed,0
550,17886,27,Self-Employed,0
760,41471,24,Salaried,1
724,19002,5,Salaried,1
400,28153,6,Salaried,0
321,40911,19,Self-Employed,0
464,43882,23,Self-Employed,0
579,37273,15,Salaried,0
650,49875,11,Salaried,0
479,9444,1,Salaried,0
730,8288,4,Salaried,1
586,33062,14,Self-Employed,0
349,23766,10,Self-Employed,0
700,43159,2,Salaried,0
365,47224,7,Self-Employed,0
815,20862,3,Salaried,1
743,26112,15,Self-Employed,1
807,11585,6,Self-Employed,1
578,18715,16,Salaried,0
728,36383,18,Self-Employed,1
569,42068,14,Salaried,0
816,39476,26,Salaried,1
682,24834,23,Salaried,1
767,19443,9,Salaried,1
609,21045,14,Self-Employed,0
656,48644,6,Salaried,1
614,39855,22,Self-Employed,0
506,29011,2,Self-Employed,0
402,32609,4,Self-Employed,0
526,42106,18,Self-Employed,0
460,11718,9,Self-Employed,0
592,47956,2,Self-Employed,0
813,6929,8,Salaried,1
527,39209,25,Self-Employed,0
812,46838,14,Self-Employed,1
761,14426,3,Self-Employed,1
428,30544,7,Self-Employed,0
607,8581,25,Self-Employed,0
388,22651,11,Salaried,0
475,18665,7,Self-Employed,0
363,40951,10,Self-Employed,0
514,5688,20,Salaried,0
340,40214,18,Self-Employed,0
487,21252,25,Self-Employed,0
776,43766,13,Salaried,1
761,7917,3,Salaried,1
574,29520,23,Salaried,0
315,35245,23,Self-Employed,0
464,7725,29,Self-Employed,0
607,19969,12,Self-Employed,0
416,49343,23,Self-Employed,0
502,44764,18,Salaried,0
840,20273,8,Salaried,1
515,30845,13,Self-Employed,0
698,31830,16,Salaried,1
781,16071,29,Salaried,1
435,41153,25,Salaried,0
723,21989,15,Salaried,1
402,35841,21,Salaried,0
789,12732,7,Salaried,1
364,45923,28,Salaried,0
378,26987,12,Self-Employed,0
494,20154,11,Salaried,0
719,27977,22,Salaried,1
423,45679,4,Salaried,0
744,49708,15,Self-Employed,1
365,29589,10,Self-Employed,0
799,37178,6,Self-Employed,1
309,29778,29,Salaried,0
402,47667,25,Self-Employed,0
